column_name,column_type,null,key,default,extra
VendorID,BIGINT,YES,,,
tpep_pickup_datetime,TIMESTAMP,YES,,,
tpep_dropoff_datetime,TIMESTAMP,YES,,,
passenger_count,DOUBLE,YES,,,
trip_distance,DOUBLE,YES,,,
RatecodeID,DOUBLE,YES,,,
store_and_fwd_flag,VARCHAR,YES,,,
PULocationID,BIGINT,YES,,,
DOLocationID,BIGINT,YES,,,
payment_type,BIGINT,YES,,,
fare_amount,DOUBLE,YES,,,
extra,DOUBLE,YES,,,
mta_tax,DOUBLE,YES,,,
tip_amount,DOUBLE,YES,,,
tolls_amount,DOUBLE,YES,,,
improvement_surcharge,DOUBLE,YES,,,
total_amount,DOUBLE,YES,,,
congestion_surcharge,DOUBLE,YES,,,
airport_fee,DOUBLE,YES,,,
