PULocationID,DOLocationID,trip_count,total_revenue,avg_fare
132,265,5039,581142.8999999979,115.32901369319268
132,230,5912,537126.7799999819,90.85365020297392
264,264,15354,408978.9400000008,26.636638009639235
138,230,5130,373677.52000000054,72.84162183235878
132,48,3996,361064.3099999946,90.35643393393258
237,236,22303,340513.54000000464,15.267611532081094
236,237,18981,300974.64000000455,15.856627153469498
132,164,3158,292815.09999999974,92.72169094363512
132,170,2752,257706.89000000063,93.64349200581418
132,161,2584,241580.57000000146,93.49093266253927
